,Unnamed: 0,titles,abstracts,decision,titleabstract
2563,2563,"Radioprotective effects exogenous glutathione whole-body gamma-ray irradiation: age- gender-related changes malondialdehyde levels, superoxide dismutase catalase activities rat liver","Age- gender-related changes malondialdehyde (MDA) levels, superoxide dismutase (SOD) catalase (CAT) activities rat livers exposed different doses whole-body gamma-ray radiation determined. In addition, effects exogenous glutathione (GSH) radiation injury rat livers investigated. We found MDA levels age-associated increment increasing radiation dose-related elevation, although decrease slightly  Gy group. The MDA levels old rats lower males females, young rats change. There observed age-related changes SOD activities, although male rats higher SOD activity females. Female rats highest CAT activities  Gy group, male rats highest CAT activities  Gy group. CAT activities  Gy group lower  Gy group gender age. While MDA levels decreased CAT activities increased GSH, SOD activities remained unchanged. The indicate gamma-ray radiation affects gender- age-dependent MDA levels, SOD CAT activities. Administration GSH appears useful approach reduce radiation injury reducing MDA levels increasing CAT activities.",Included,"Radioprotective effects exogenous glutathione whole-body gamma-ray irradiation: age- gender-related changes malondialdehyde levels, superoxide dismutase catalase activities rat liver. Age- gender-related changes malondialdehyde (MDA) levels, superoxide dismutase (SOD) catalase (CAT) activities rat livers exposed different doses whole-body gamma-ray radiation determined. In addition, effects exogenous glutathione (GSH) radiation injury rat livers investigated. We found MDA levels age-associated increment increasing radiation dose-related elevation, although decrease slightly  Gy group. The MDA levels old rats lower males females, young rats change. There observed age-related changes SOD activities, although male rats higher SOD activity females. Female rats highest CAT activities  Gy group, male rats highest CAT activities  Gy group. CAT activities  Gy group lower  Gy group gender age. While MDA levels decreased CAT activities increased GSH, SOD activities remained unchanged. The indicate gamma-ray radiation affects gender- age-dependent MDA levels, SOD CAT activities. Administration GSH appears useful approach reduce radiation injury reducing MDA levels increasing CAT activities."
2565,2565,"Manual adjustment tube voltage   kVp abdominal CT patients body weights <= kg: assessment image quality radiation dose prospective, randomised trial","AIM: To assess image quality radiation dose patients body weights <= kg undergoing abdominal computed tomography (CT) tube voltage either   kVp., MATERIALS AND METHODS: Eighty patients weighing <= kg prospectively assigned receive either   kVp abdominal CT portal-venous phase. Attenuation values abdominal organs image noise measured, contrast-to-noise ratios (CNRs) calculated. Subjective image quality assessed three independent radiologists. Radiation exposure assessed size-specific dose estimate (SSDE)., RESULTS: The mean attenuation kidney increased %  kVp (p<.), mean image noise % higher  kVp (p=.). The CNR significantly differ groups ( kVp, .+/-.;  kVp, .+/-.; p=.). Except subjective image noise (p<.), subjective quality parameters (e.g., contrast, artefacts) significantly different two groups (p . .). The mean SSDE -kVp group (.+/-. mGy) reduced % compared -kVp group (.+/-. mGy; p<.)., CONCLUSION: Manual reduction tube voltage standard   kVp portal-venous phase CT patients body weights <= kg resulted % dose reduction maintaining objective subjective image quality. Copyright ©  The Royal College Radiologists. Published Elsevier Ltd. All rights reserved.",Excluded,"Manual adjustment tube voltage   kVp abdominal CT patients body weights <= kg: assessment image quality radiation dose prospective, randomised trial. AIM: To assess image quality radiation dose patients body weights <= kg undergoing abdominal computed tomography (CT) tube voltage either   kVp., MATERIALS AND METHODS: Eighty patients weighing <= kg prospectively assigned receive either   kVp abdominal CT portal-venous phase. Attenuation values abdominal organs image noise measured, contrast-to-noise ratios (CNRs) calculated. Subjective image quality assessed three independent radiologists. Radiation exposure assessed size-specific dose estimate (SSDE)., RESULTS: The mean attenuation kidney increased %  kVp (p<.), mean image noise % higher  kVp (p=.). The CNR significantly differ groups ( kVp, .+/-.;  kVp, .+/-.; p=.). Except subjective image noise (p<.), subjective quality parameters (e.g., contrast, artefacts) significantly different two groups (p . .). The mean SSDE -kVp group (.+/-. mGy) reduced % compared -kVp group (.+/-. mGy; p<.)., CONCLUSION: Manual reduction tube voltage standard   kVp portal-venous phase CT patients body weights <= kg resulted % dose reduction maintaining objective subjective image quality. Copyright ©  The Royal College Radiologists. Published Elsevier Ltd. All rights reserved."
2568,2568,Use irradiated bone graft impaction grafting acetabular revision surgery: review fifty consecutive cases,"Impaction bone grafting useful technique armament revision hip surgeon. Traditionally fresh frozen allograft used technique. However concerns transmission viral proteins prions form allograft. As result irradiated bone graft favoured centres. There long term series describing impaction bone grafting using irradiated bone. This paper reviews consecutive series  cases acetabular revision surgery performed   followed mean period  months. The preoperative bone defect graded Paprosky classification. There  cases type a,  type a,  type b,  type c,  type a  type b. All cases followed clinically radiologically. Case notes reviewed primary prosthesis, operative details reason revision. The radiographs evaluated signs bone incorporation, remodelling, loosening migration acetabular component. There  cases aseptic loosening end follow period. One patient recurrent dislocation revised.  cases (%) showed changes suggestive bone incorporation,  cases (%) showed remodelling. Clinically good excellent outcome absence pain achieved  patients (%). The suggested acetabular impaction bone grafting using irradiated bone graft comparable fresh frozen allograft. The low percentage remodelling remains concern warrants studies.",Excluded,"Use irradiated bone graft impaction grafting acetabular revision surgery: review fifty consecutive cases. Impaction bone grafting useful technique armament revision hip surgeon. Traditionally fresh frozen allograft used technique. However concerns transmission viral proteins prions form allograft. As result irradiated bone graft favoured centres. There long term series describing impaction bone grafting using irradiated bone. This paper reviews consecutive series  cases acetabular revision surgery performed   followed mean period  months. The preoperative bone defect graded Paprosky classification. There  cases type a,  type a,  type b,  type c,  type a  type b. All cases followed clinically radiologically. Case notes reviewed primary prosthesis, operative details reason revision. The radiographs evaluated signs bone incorporation, remodelling, loosening migration acetabular component. There  cases aseptic loosening end follow period. One patient recurrent dislocation revised.  cases (%) showed changes suggestive bone incorporation,  cases (%) showed remodelling. Clinically good excellent outcome absence pain achieved  patients (%). The suggested acetabular impaction bone grafting using irradiated bone graft comparable fresh frozen allograft. The low percentage remodelling remains concern warrants studies."
2571,2571,Role radiation therapy treatment stage I/II mucosa-associated lymphoid tissue lymphoma,"Background: Few large studies exist outcome patients treated stage I/II mucosa-associated lymphoid tissue (MALT) lymphoma. Patients Methods: We retrospectively reviewed records  patients consecutively treated stage I (n = ) II (n = ) MALT lymphoma institution. Progression-free survival (PFS), freedom treatment failure (FFTF), overall survival (OS) calculated using Kaplan-Meier method. Result(s): The median follow-uptime  months (range - months). Fifty-two patients (%) received local radiation therapy (RT) alone,  (%) surgery followed adjuvant RT, five (%) surgery alone, two (%) surgery chemotherapy, one patient chemotherapy alone. The median RT dose  Gy (range - Gy). The -year PFS, FFTF, OS rates %, %, %, respectively. The -year PFS (% versus %; P = .) FFTF (% versus %; P = .) rates higher patients received RT compared patients not. Conclusion(s): The prognosis following treatment stage I/II MALT lymphoma excellent. RT improves PFS FFTF important role curative treatment patients localized disease. ©  Oxford University Press.",Excluded,"Role radiation therapy treatment stage I/II mucosa-associated lymphoid tissue lymphoma. Background: Few large studies exist outcome patients treated stage I/II mucosa-associated lymphoid tissue (MALT) lymphoma. Patients Methods: We retrospectively reviewed records  patients consecutively treated stage I (n = ) II (n = ) MALT lymphoma institution. Progression-free survival (PFS), freedom treatment failure (FFTF), overall survival (OS) calculated using Kaplan-Meier method. Result(s): The median follow-uptime  months (range - months). Fifty-two patients (%) received local radiation therapy (RT) alone,  (%) surgery followed adjuvant RT, five (%) surgery alone, two (%) surgery chemotherapy, one patient chemotherapy alone. The median RT dose  Gy (range - Gy). The -year PFS, FFTF, OS rates %, %, %, respectively. The -year PFS (% versus %; P = .) FFTF (% versus %; P = .) rates higher patients received RT compared patients not. Conclusion(s): The prognosis following treatment stage I/II MALT lymphoma excellent. RT improves PFS FFTF important role curative treatment patients localized disease. ©  Oxford University Press."
2574,2574,The First Female Dry Immersion (NAIAD-): Design Specifics -Day Study,"This article describes procedures first study females undergoing -day Dry Immersion. The experiment [']NAIAD-['] carried Institute Biomedical Problems (Moscow, Russia) participation six healthy women volunteers (age . +/- . years, height . +/- . m, weight . +/- . kg, BMI . +/- . kg/m) natural menstrual cycle. During study, standard protocol used, men, minimum period time spent outside immersion bath. Before, Immersion,  experiments carried aimed studying neurophysiological, functional, metabolic psychophysiological functions body, presented future publications. The total time outside bath women exceed men. Systolic diastolic pressure significantly change immersion. In first  h end immersion, heart rate significantly higher values [F(,) = .; P < .]. Changes body temperature water balance consistent patterns found men. No significant changes height weight found immersion. All women reported general discomfort pain abdomen back. The study find significant risks women's health showed feasibility using model effects space flight women reproductive age.© Copyright ©  Tomilovskaya, Amirova, Nosikova, Rukavishnikov, Chernogorov, Lebedeva, Saveko, Ermakov, Ponomarev, Zelenskaya, Shigueva, Shishkin, Kitov, Riabova, Brykov, Abu Sheli, Vassilieva Orlov.",Excluded,"The First Female Dry Immersion (NAIAD-): Design Specifics -Day Study. This article describes procedures first study females undergoing -day Dry Immersion. The experiment [']NAIAD-['] carried Institute Biomedical Problems (Moscow, Russia) participation six healthy women volunteers (age . +/- . years, height . +/- . m, weight . +/- . kg, BMI . +/- . kg/m) natural menstrual cycle. During study, standard protocol used, men, minimum period time spent outside immersion bath. Before, Immersion,  experiments carried aimed studying neurophysiological, functional, metabolic psychophysiological functions body, presented future publications. The total time outside bath women exceed men. Systolic diastolic pressure significantly change immersion. In first  h end immersion, heart rate significantly higher values [F(,) = .; P < .]. Changes body temperature water balance consistent patterns found men. No significant changes height weight found immersion. All women reported general discomfort pain abdomen back. The study find significant risks women's health showed feasibility using model effects space flight women reproductive age.© Copyright ©  Tomilovskaya, Amirova, Nosikova, Rukavishnikov, Chernogorov, Lebedeva, Saveko, Ermakov, Ponomarev, Zelenskaya, Shigueva, Shishkin, Kitov, Riabova, Brykov, Abu Sheli, Vassilieva Orlov."
2577,2577,Factors influencing release volatiles Anastrepha obliqua males (Diptera: Tephritidae),"During sexual signaling, males Anastrepha obliqua (Macquart) form leks attract females producing sounds releasing volatile compounds. The objective study investigate influence time time day, age, irradiation, mating status, presence host fruit release volatile components laboratory-reared A. obliqua males. A. obliqua males released four compounds identified gas chromatography coupled mass spectrometry (GC-MS) (E,E)-alpha-farnesene, (Z,E)-alpha-farnesene, (Z)--nonenol, farnesene isomer calling behavior. Although males released volatiles entire day, amount volatiles higher early morning afternoon hours. Males began emit volatiles  old, amount (Z)--nonenol affected age. Irradiation flies gamma rays Co source dose rate  [corrected] Gy significantly reduced amount volatiles released calling behavior. The amount volatiles lower recently mated males virgin males. However, significant differences virgin males males  h mating. The presence host fruit affect amount volatiles compared control.",Excluded,"Factors influencing release volatiles Anastrepha obliqua males (Diptera: Tephritidae). During sexual signaling, males Anastrepha obliqua (Macquart) form leks attract females producing sounds releasing volatile compounds. The objective study investigate influence time time day, age, irradiation, mating status, presence host fruit release volatile components laboratory-reared A. obliqua males. A. obliqua males released four compounds identified gas chromatography coupled mass spectrometry (GC-MS) (E,E)-alpha-farnesene, (Z,E)-alpha-farnesene, (Z)--nonenol, farnesene isomer calling behavior. Although males released volatiles entire day, amount volatiles higher early morning afternoon hours. Males began emit volatiles  old, amount (Z)--nonenol affected age. Irradiation flies gamma rays Co source dose rate  [corrected] Gy significantly reduced amount volatiles released calling behavior. The amount volatiles lower recently mated males virgin males. However, significant differences virgin males males  h mating. The presence host fruit affect amount volatiles compared control."
2580,2580,Increased susceptibility ionizing radiation mice STGal- deficiency,"Sporadic reports associated degree N-linked alpha, sialylation, mediated sialyltransferase STGal-, increased chemo-and radio-resistance tumor cells, therapeutic failures colorectal cancers, protection Fas-mediated apoptosis. Radiation exposure, whether iatrogenic accidental, significant health concern. STGal- suggested candidate biomarker exposure ionizing radiation; enzyme expression level protein sialylation increase following radiation exposure dose dependent manner. Here report striking sensitivity animals non-functional STGal- ionizing radiation. We attempted rescue stgal-KO wild-type CBL/J mice subjected  Gy full body irradiation bone marrow transplantation congenic wild-type marrow cells. While wild-type, stgal-normal animals uniformly survived procedure, stgal-KO mice suffered % morbidity within  days irradiation. There comparable homing retention donor cells marrow stgal-KO wild-type recipients, failure hematopoietic cell engraftment unlikely cause morbidity. However, stgal-KO recipients suffered heavy damage gastrointestinal tract resulting almost complete loss absorptive tissue integrity gastrointestinal architecture. This damage far less severe wild-type recipients. Damage gastrointestinal tract especially frequent detrimental complication radiation used cancer therapy. Our data indicate critical role STGal- maintenance radioresistance gastrointestinal tract.",Included,"Increased susceptibility ionizing radiation mice STGal- deficiency. Sporadic reports associated degree N-linked alpha, sialylation, mediated sialyltransferase STGal-, increased chemo-and radio-resistance tumor cells, therapeutic failures colorectal cancers, protection Fas-mediated apoptosis. Radiation exposure, whether iatrogenic accidental, significant health concern. STGal- suggested candidate biomarker exposure ionizing radiation; enzyme expression level protein sialylation increase following radiation exposure dose dependent manner. Here report striking sensitivity animals non-functional STGal- ionizing radiation. We attempted rescue stgal-KO wild-type CBL/J mice subjected  Gy full body irradiation bone marrow transplantation congenic wild-type marrow cells. While wild-type, stgal-normal animals uniformly survived procedure, stgal-KO mice suffered % morbidity within  days irradiation. There comparable homing retention donor cells marrow stgal-KO wild-type recipients, failure hematopoietic cell engraftment unlikely cause morbidity. However, stgal-KO recipients suffered heavy damage gastrointestinal tract resulting almost complete loss absorptive tissue integrity gastrointestinal architecture. This damage far less severe wild-type recipients. Damage gastrointestinal tract especially frequent detrimental complication radiation used cancer therapy. Our data indicate critical role STGal- maintenance radioresistance gastrointestinal tract."
2583,2583,Efficacy safety D-conformal half body irradiation patients multiple bone metastases,"Half-body irradiation (HBI) represented standard treatment multiple painful bone metastases (BMs). However, use progressively reduced due associated toxicity rates. The aim paper evaluate HBI delivered conformal radiotherapy (RT) technique large patients population widespread BMs. HBI delivered  Gy fractions, bid, >=  h apart,  consecutive days (total dose:  Gy) using -dimensional conformal RT (D-CRT) box technique. The target included pelvic bones, lumbar-sacral vertebrae upper third femurs. Acute late toxicity scored based RTOG EORTC-RTOG scales, respectively. Pain evaluated using Pain-Drug scores Visual Analog Scale (VAS). One hundred eighty patients eligible inclusion retrospective analysis. Grade   acute toxicity rates .% .%, respectively. Mean VAS HBI . versus ., respectively (p: .). Based VAS, .% patients showed complete pain relief (VAS: ) .% partial response (>= -point VAS reduction). Overall, Pain Drug Score reduction observed .% .% patients, respectively. -, -, -year pain progression free survival .%, .%, .%, respectively. Thirty patients (.%) underwent RT retreatment site median . months interval (range - months). HBI delivered D-CRT technique safe effective. It provides long lasting pain control patients multiple BMs negligible rates relevant toxicity.Copyright © , Springer Nature B.V.",Excluded,"Efficacy safety D-conformal half body irradiation patients multiple bone metastases. Half-body irradiation (HBI) represented standard treatment multiple painful bone metastases (BMs). However, use progressively reduced due associated toxicity rates. The aim paper evaluate HBI delivered conformal radiotherapy (RT) technique large patients population widespread BMs. HBI delivered  Gy fractions, bid, >=  h apart,  consecutive days (total dose:  Gy) using -dimensional conformal RT (D-CRT) box technique. The target included pelvic bones, lumbar-sacral vertebrae upper third femurs. Acute late toxicity scored based RTOG EORTC-RTOG scales, respectively. Pain evaluated using Pain-Drug scores Visual Analog Scale (VAS). One hundred eighty patients eligible inclusion retrospective analysis. Grade   acute toxicity rates .% .%, respectively. Mean VAS HBI . versus ., respectively (p: .). Based VAS, .% patients showed complete pain relief (VAS: ) .% partial response (>= -point VAS reduction). Overall, Pain Drug Score reduction observed .% .% patients, respectively. -, -, -year pain progression free survival .%, .%, .%, respectively. Thirty patients (.%) underwent RT retreatment site median . months interval (range - months). HBI delivered D-CRT technique safe effective. It provides long lasting pain control patients multiple BMs negligible rates relevant toxicity.Copyright © , Springer Nature B.V."
2585,2585,The risk cataractogenesis gamma knife radiosurgery: nationwide population based case-control study,"BACKGROUND: Medical radiation considered factor responsible cataractogenesis. However, incidence ophthalmologic complication resulting gamma knife radiosurgery (GKRS) yet reported. The present study aimed determine risk cataractogenesis associated radiation exposure GKRS., METHODS: This study used information random sample one million persons enrolled nationally representative Taiwan National Health Insurance Research Database. The GK group consisted patients underwent GKRS  . The non-GK group composed subjects never undergone GKRS, matched case group time enrollment, age, sex, history coronary artery disease, hypertension, diabetes., RESULTS: There  patients GK group  matched subjects non-GK group. The GK group higher overall incidence cataracts (.% vs. .%; crude hazard ratio [cHR], .; % CI, .-.; adjusted hazard ratio [aHR], .; % CI, .-.) non-GK group. Patients undergone computed tomography and/or cerebral angiography (CT/angio) studies higher risk developing cataracts (.% vs. .%; cHR, .; % CI, .-.; aHR, .; % CI, .-.). The age group   years highest risk cataractogenesis GK CT/angio groups (cHR, .; % CI, .-.; aHR, .; % CI, .-.; cHR, .; % CI, .-.; aHR, .; % CI, .-., respectively)., CONCLUSIONS: Radiation exposure due GKRS CT/angio study may independently associated increased risk cataractogenesis. We suggest routine dosimetry measurement eye lens proper protection patients benign lesions GKRS. Regular follow-up imaging studies avoid use CT/angio, particular care taken --year-old age group, due significantly increased risk cataract formation.",Included,"The risk cataractogenesis gamma knife radiosurgery: nationwide population based case-control study. BACKGROUND: Medical radiation considered factor responsible cataractogenesis. However, incidence ophthalmologic complication resulting gamma knife radiosurgery (GKRS) yet reported. The present study aimed determine risk cataractogenesis associated radiation exposure GKRS., METHODS: This study used information random sample one million persons enrolled nationally representative Taiwan National Health Insurance Research Database. The GK group consisted patients underwent GKRS  . The non-GK group composed subjects never undergone GKRS, matched case group time enrollment, age, sex, history coronary artery disease, hypertension, diabetes., RESULTS: There  patients GK group  matched subjects non-GK group. The GK group higher overall incidence cataracts (.% vs. .%; crude hazard ratio [cHR], .; % CI, .-.; adjusted hazard ratio [aHR], .; % CI, .-.) non-GK group. Patients undergone computed tomography and/or cerebral angiography (CT/angio) studies higher risk developing cataracts (.% vs. .%; cHR, .; % CI, .-.; aHR, .; % CI, .-.). The age group   years highest risk cataractogenesis GK CT/angio groups (cHR, .; % CI, .-.; aHR, .; % CI, .-.; cHR, .; % CI, .-.; aHR, .; % CI, .-., respectively)., CONCLUSIONS: Radiation exposure due GKRS CT/angio study may independently associated increased risk cataractogenesis. We suggest routine dosimetry measurement eye lens proper protection patients benign lesions GKRS. Regular follow-up imaging studies avoid use CT/angio, particular care taken --year-old age group, due significantly increased risk cataract formation."
2586,2586,Estimates Environmental Exposure Radiofrequency Electromagnetic Fields Risk Lymphoma Subtypes,"We investigated association environmental exposure radiofrequency electromagnetic fields (RF-EMF) risk lymphoma subtypes case-control study comprised  patients  individuals serving controls Sardinia, Italy -. Questionnaire information included self-reported distance three longest held residential addresses fixed radio-television transmitters mobile phone base stations. We georeferenced residential addresses study subjects obtained spatial coordinates mobile phone base stations. For address within -meter radius mobile phone base station, estimated RF-EMF intensity using predictions spatial models, performed RF-EMF door subset longest held addresses within -meter radius. We calculated risk lymphoma major subtypes associated RF-EMF exposure metrics unconditional logistic regression, adjusting age, gender years education. In analysis self-reported data, risk associated residence proximity (within  meters) fixed radio-television transmitters likewise elevated lymphoma overall [odds ratio = ., % confidence interval = .-.], major lymphoma subtypes. With reference mobile phone base stations, observe association either self-reported, geocoded distance mobile phone base stations. RF-EMF vary case-control status. By comparing self-reports geocoded data, discovered cases tended underestimate distance mobile phone base stations differentially controls (P = .). The interpretation findings compromised limited study size, particularly analysis individual lymphoma subtypes, unavailability spatial coordinates radio-television transmitters. Nonetheless, support hypothesis link environmental exposure RF-EMF mobile phone base stations risk lymphoma subtypes.Copyright ©  Radiation Research Society.",Excluded,"Estimates Environmental Exposure Radiofrequency Electromagnetic Fields Risk Lymphoma Subtypes. We investigated association environmental exposure radiofrequency electromagnetic fields (RF-EMF) risk lymphoma subtypes case-control study comprised  patients  individuals serving controls Sardinia, Italy -. Questionnaire information included self-reported distance three longest held residential addresses fixed radio-television transmitters mobile phone base stations. We georeferenced residential addresses study subjects obtained spatial coordinates mobile phone base stations. For address within -meter radius mobile phone base station, estimated RF-EMF intensity using predictions spatial models, performed RF-EMF door subset longest held addresses within -meter radius. We calculated risk lymphoma major subtypes associated RF-EMF exposure metrics unconditional logistic regression, adjusting age, gender years education. In analysis self-reported data, risk associated residence proximity (within  meters) fixed radio-television transmitters likewise elevated lymphoma overall [odds ratio = ., % confidence interval = .-.], major lymphoma subtypes. With reference mobile phone base stations, observe association either self-reported, geocoded distance mobile phone base stations. RF-EMF vary case-control status. By comparing self-reports geocoded data, discovered cases tended underestimate distance mobile phone base stations differentially controls (P = .). The interpretation findings compromised limited study size, particularly analysis individual lymphoma subtypes, unavailability spatial coordinates radio-television transmitters. Nonetheless, support hypothesis link environmental exposure RF-EMF mobile phone base stations risk lymphoma subtypes.Copyright ©  Radiation Research Society."
2589,2589,Plasma concentration Donepezil accurately predict tissue concentration: A dynamic whole-body PET study humans,"Background: Donepezil hydrochloride (DNP) acetylcholine esterase inhibitor prescribed patients Alzheimer's disease. We previously reported accumulation brain, myocardium, pancreas using PET C-DNP. Objects: The study reveal whether DNP concentration organs could predicted measuring plasma concentration. Method(s): Ten healthy volunteers ( men  women, age range   year old, mean age . year old) enrolled. C-DNP ( MBq, less mug) intravenously infused  min immediately followed  repeated whole-body scans ( min data acquisition scan)  min. Radioactivity concentration brain, pancreas, myocardium measured PMOD software. Time activity curve (TAC) plasma obtained arterialized venous blood measured  time points. Metabolite fraction measured  min using HPLC. We assumed linear increase metabolite fraction scanning obtained metabolite-corrected TAC (cTAC) C-DNP. We examined correlation integrated TAC tissue radioactivity brain, pancreas, myocardium. We also examined correlation plasma radioactivity single time point tissue radioactivity organs. Result(s): There significant correlation integrated plasma radioactivity (  min,   min) tissue radioactivity  min  min brain (p=., p = .), pancreas (p=., p=.), myocardium (p=., p=.). Metabolite fraction CDNP plasma . +/- .%  min. By using cTAC, also found significant correlation plasma tissue radioactivity. Conclusion(s): Although plasma concentration usually employed predict tissue concentration drugs, case DNP, plasma concentration accurately estimate tissue concentration. PET positron emitting nuclide-labeled drug may provide accurate direct information tissue concentration drugs.",Excluded,"Plasma concentration Donepezil accurately predict tissue concentration: A dynamic whole-body PET study humans. Background: Donepezil hydrochloride (DNP) acetylcholine esterase inhibitor prescribed patients Alzheimer's disease. We previously reported accumulation brain, myocardium, pancreas using PET C-DNP. Objects: The study reveal whether DNP concentration organs could predicted measuring plasma concentration. Method(s): Ten healthy volunteers ( men  women, age range   year old, mean age . year old) enrolled. C-DNP ( MBq, less mug) intravenously infused  min immediately followed  repeated whole-body scans ( min data acquisition scan)  min. Radioactivity concentration brain, pancreas, myocardium measured PMOD software. Time activity curve (TAC) plasma obtained arterialized venous blood measured  time points. Metabolite fraction measured  min using HPLC. We assumed linear increase metabolite fraction scanning obtained metabolite-corrected TAC (cTAC) C-DNP. We examined correlation integrated TAC tissue radioactivity brain, pancreas, myocardium. We also examined correlation plasma radioactivity single time point tissue radioactivity organs. Result(s): There significant correlation integrated plasma radioactivity (  min,   min) tissue radioactivity  min  min brain (p=., p = .), pancreas (p=., p=.), myocardium (p=., p=.). Metabolite fraction CDNP plasma . +/- .%  min. By using cTAC, also found significant correlation plasma tissue radioactivity. Conclusion(s): Although plasma concentration usually employed predict tissue concentration drugs, case DNP, plasma concentration accurately estimate tissue concentration. PET positron emitting nuclide-labeled drug may provide accurate direct information tissue concentration drugs."
2592,2592,[COMBINED USE OF INTERFERON-GAMMA RELEASE ASSAY AND LOW-DOSE COMPUTED TOMOGRAPHY FOR TUBERCULOSIS SCREENING PROGRAM OF HEALTH CARE WORKERS],"OBJECTIVE: To evaluate value interferon-gamma release assays low-dose computed tomography pulmonary tuberculosis screenings program health care workers., DESIGN: For pulmonary tuberculosis (TB) screenings program, T-SPOT.TB (one interferon-gamma release assays: IGRA) performed  health care workers (HCWs) normal chest roentgenogram without history TB treatment. Low-dose computed tomography (LDCT) also performed IGRA positive HCWs., RESULTS: Ten  subjects positive IGRA. LDCT performed IGRA positive  subjects. Abnormal findings noted   subjects LDCT. One CT findings compatible active TB finally diagnosed active TB. Another scarring shadow right S lingular segment. Nine  IGRA positive subjects judged latent tuberculosis infection (LTBI). Three hundred twenty-one subjects negative borderline IGRA  HCWs judged infected TB., CONCLUSION: Combined use IGRA LDCT tuberculosis screening program HCWs found effective early diagnosis TB, accurate diagnosis LTBI judgment non-infective subjects.",Excluded,"[COMBINED USE OF INTERFERON-GAMMA RELEASE ASSAY AND LOW-DOSE COMPUTED TOMOGRAPHY FOR TUBERCULOSIS SCREENING PROGRAM OF HEALTH CARE WORKERS]. OBJECTIVE: To evaluate value interferon-gamma release assays low-dose computed tomography pulmonary tuberculosis screenings program health care workers., DESIGN: For pulmonary tuberculosis (TB) screenings program, T-SPOT.TB (one interferon-gamma release assays: IGRA) performed  health care workers (HCWs) normal chest roentgenogram without history TB treatment. Low-dose computed tomography (LDCT) also performed IGRA positive HCWs., RESULTS: Ten  subjects positive IGRA. LDCT performed IGRA positive  subjects. Abnormal findings noted   subjects LDCT. One CT findings compatible active TB finally diagnosed active TB. Another scarring shadow right S lingular segment. Nine  IGRA positive subjects judged latent tuberculosis infection (LTBI). Three hundred twenty-one subjects negative borderline IGRA  HCWs judged infected TB., CONCLUSION: Combined use IGRA LDCT tuberculosis screening program HCWs found effective early diagnosis TB, accurate diagnosis LTBI judgment non-infective subjects."
2595,2595,Radioembolisation Yttrium- microspheres: effective treatment modality unresectable liver metastases,"PURPOSE: To compare outcomes (survival adverse events) authors' use () Y microsphere radioembolisation patients chemotherapy-refractory liver metastases published data groups using radioembolisation. To retrospectively evaluate efficiency, particular survival benefits, radioembolisation treatment liver metastases., METHODS AND MATERIALS: Over  years,  patients underwent () Y microsphere radioembolisation unresectable liver metastases evaluated adverse events time treatment   months treatment. Overall survival (OS) calculated Kaplan-Meier method. The present retrospective study compared number prospective retrospective clinical trials addressed use () Y microspheres salvage treatment liver metastases., RESULTS: The OS time present study (. months) compares favourably survival times reported groups. The incidence late grade  adverse events (e.g. duodenal gastric ulceration, radiation-induced liver disease, gall bladder complications) comparable previous studies, lower prevalence grade / ulcerations (.%) centre., CONCLUSIONS: The survival results, together low acute late toxicity observed data previous studies, support use radioembolisation aid local control unresectable liver metastases salvage setting. The present study contributes growing evidence efficiency, particular survival gains, radioembolisation treatment liver metastases. Copyright ©  The Authors. Journal Medical Imaging Radiation Oncology ©  The Royal Australian New Zealand College Radiologists.",Excluded,"Radioembolisation Yttrium- microspheres: effective treatment modality unresectable liver metastases. PURPOSE: To compare outcomes (survival adverse events) authors' use () Y microsphere radioembolisation patients chemotherapy-refractory liver metastases published data groups using radioembolisation. To retrospectively evaluate efficiency, particular survival benefits, radioembolisation treatment liver metastases., METHODS AND MATERIALS: Over  years,  patients underwent () Y microsphere radioembolisation unresectable liver metastases evaluated adverse events time treatment   months treatment. Overall survival (OS) calculated Kaplan-Meier method. The present retrospective study compared number prospective retrospective clinical trials addressed use () Y microspheres salvage treatment liver metastases., RESULTS: The OS time present study (. months) compares favourably survival times reported groups. The incidence late grade  adverse events (e.g. duodenal gastric ulceration, radiation-induced liver disease, gall bladder complications) comparable previous studies, lower prevalence grade / ulcerations (.%) centre., CONCLUSIONS: The survival results, together low acute late toxicity observed data previous studies, support use radioembolisation aid local control unresectable liver metastases salvage setting. The present study contributes growing evidence efficiency, particular survival gains, radioembolisation treatment liver metastases. Copyright ©  The Authors. Journal Medical Imaging Radiation Oncology ©  The Royal Australian New Zealand College Radiologists."
